C2H2_14r176, C[0], C[1], H[2], H[3], 
X Velocity[A/fs], -0.166529, 0.158533, -0.816742, 0.798112,  
Y Velocity[A/fs],-0.00141098, -0.0015513, 0.050922, -0.0408532,  
Z Velocity[A/fs],-0.000605986, -0.000308458, 0.0483932, -0.0555436,  
Speed[A/fs],0.166536, 0.158541, 0.819757, 0.801085, 

C2H2_14r44, C[0], C[1], H[2], H[3], 
Densities, 1.871226476284835, 1.767439944545567, 0.0005972337048483049, 7.762604501537324e-05, 
Time[fs], 62.500000, 62.500000, 26.500000, 26.500000, 
Density Sum, 3.639341280580266
X Velocity[A/fs], -0.163041, 0.163766, -0.803542, 0.79806,  
Y Velocity[A/fs],0.00184639, -0.00371892, -0.0313658, -0.0617198,  
Z Velocity[A/fs],0.00115239, 0.00298372, 0.111624, -0.121189,  
Speed[A/fs],0.163055, 0.163835, 0.811864, 0.809565, 

C2H2_14r174, C[0], C[1], H[2], H[3], 
Densities, 2.219125927479366, 1.424757833627249, 0.001066926869476661, 9.459448454127421e-05, 
Time[fs], 64.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.645045282460633
X Velocity[A/fs], -0.155343, 0.160757, -0.806549, 0.807982,  
Y Velocity[A/fs],0.000412111, -0.00448997, -0.0203634, -0.0686099,  
Z Velocity[A/fs],0.000597944, -0.00365794, 0.0113353, -0.0614221,  
Speed[A/fs],0.155345, 0.160861, 0.806885, 0.813212, 

C2H2_14r82, C[0], C[1], H[2], H[3], 
Densities, 1.970086495613547, 1.716708400989519, 0.001373837039036422, 4.642298399140528e-05, 
Time[fs], 61.500000, 64.000000, 26.500000, 26.500000, 
Density Sum, 3.688215156626093
X Velocity[A/fs], -0.163316, 0.154214, -0.79259, 0.80858,  
Y Velocity[A/fs],-0.000924253, -0.0045568, 0.0310159, 0.0236026,  
Z Velocity[A/fs],-0.00428095, -0.00728413, 0.110366, -0.0789587,  
Speed[A/fs],0.163375, 0.154453, 0.800838, 0.812769, 

C2H2_14r114, C[0], C[1], H[2], H[3], 
Densities, 1.627382997202766, 2.046440784732523, 0.0007605628623767292, 5.652789414185337e-05, 
Time[fs], 64.000000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.674640872691807
X Velocity[A/fs], -0.157581, 0.160085, -0.79301, 0.792384,  
Y Velocity[A/fs],0.00294152, 0.00833421, 0.101064, -0.0707365,  
Z Velocity[A/fs],0.00403851, -0.00269986, 0.079394, -0.0950946,  
Speed[A/fs],0.15766, 0.160325, 0.803357, 0.801199, 

C2H2_14r58, C[0], C[1], H[2], H[3], 
Densities, 1.882639253013758, 1.796695566416711, 0.001467775466101371, 6.256020118495647e-05, 
Time[fs], 63.500000, 62.000000, 26.500000, 26.500000, 
Density Sum, 3.680865155097755
X Velocity[A/fs], -0.159868, 0.163598, -0.804332, 0.798397,  
Y Velocity[A/fs],-0.00439238, -0.0052902, -0.0570616, -0.0294354,  
Z Velocity[A/fs],0.00152682, -0.00172665, -0.0228832, -0.0646493,  
Speed[A/fs],0.159936, 0.163693, 0.806678, 0.801551, 

C2H2_14r138, C[0], C[1], H[2], H[3], 
Densities, 1.155849164032358, 2.465177881361981, 0.0007417402506907252, 7.062851993775666e-05, 
Time[fs], 62.500000, 63.000000, 26.500000, 26.500000, 
Density Sum, 3.621839414164967
X Velocity[A/fs], -0.161197, 0.155958, -0.806539, 0.790143,  
