r5, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
r6, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.46436785280743, 
Time[fs], 120.000000, 
Density Sum, 20.46436785280743
X Velocity[A/fs], 0.00935344,  
Y Velocity[A/fs],-0.00200856,  
Z Velocity[A/fs],0.000553993,  
Speed[A/fs],0.0095827, 

r41, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.38646487713155, 
Time[fs], 120.000000, 
Density Sum, 20.38646487713155
X Velocity[A/fs], 0.00246724,  
Y Velocity[A/fs],-0.00127163,  
Z Velocity[A/fs],-0.000303355,  
Speed[A/fs],0.00279219, 

r47, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.62467294401958, 
Time[fs], 120.000000, 
Density Sum, 20.62467294401958
X Velocity[A/fs], -0.00809543,  
Y Velocity[A/fs],-0.00378344,  
Z Velocity[A/fs],-0.0010053,  
Speed[A/fs],0.00899228, 

r27, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.57796540994988, 
Time[fs], 120.000000, 
Density Sum, 20.57796540994988
X Velocity[A/fs], -0.00673738,  
Y Velocity[A/fs],0.0020508,  
Z Velocity[A/fs],-0.00112449,  
Speed[A/fs],0.0071318, 

r28, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.43137038995566, 
Time[fs], 120.000000, 
Density Sum, 20.43137038995566
X Velocity[A/fs], -0.00439799,  
Y Velocity[A/fs],0.00278892,  
Z Velocity[A/fs],-0.00486839,  
Speed[A/fs],0.00712893, 

r42, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.51578881056734, 
Time[fs], 120.000000, 
Density Sum, 20.51578881056734
X Velocity[A/fs], -0.000443405,  
Y Velocity[A/fs],-0.000137868,  
Z Velocity[A/fs],-0.00158824,  
Speed[A/fs],0.00165473, 

r11, C4H8[0][1][2][4][8][3][5][9][6][10][7][11], 
Densities, 20.57179430271567, 
Time[fs], 120.000000, 
Density Sum, 20.57179430271567
X Velocity[A/fs], -0.00342126,  
Y Velocity[A/fs],-0.00662582,  
Z Velocity[A/fs],-0.00417443,  
Speed[A/fs],0.0085459, 

r10, C4H8[0][1][2][3][4][8][5][9][6][10][7][11], 
Densities, 20.54997180997739, 
Time[fs], 120.000000, 
Density Sum, 20.54997180997739
X Velocity[A/fs], 0.00213502,  
Y Velocity[A/fs],0.0053124,  
Z Velocity[A/fs],-0.000213459,  
Speed[A/fs],0.00572936, 

