C2H6_10_5r3, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Z Velocity[A/fs],-0.00501065, 0.23529, 0.203705, -0.189461, -0.230802, -0.255852, 0.110877,  
Speed[A/fs],0.00557513, 0.450801, 0.468964, 0.325979, 0.445777, 0.49939, 0.174765, 

C2H6_10_5r16, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.499377488366711, 0.4657858778288845, 0.07253615113175593, 0.3006655047521202, 0.1312945233978815, 0.2799189600189799, 0.3591926386201856, 
Time[fs], 65.000000, 41.000000, 42.500000, 65.000000, 42.500000, 40.000000, 65.000000, 
Density Sum, 9.108771144116519
X Velocity[A/fs], -0.000893093, 0.327907, -0.29038, -0.0271143, -0.31697, 0.35357, 0.00187339,  
Y Velocity[A/fs],-0.0152538, 0.189454, 0.236218, 0.15481, -0.261956, -0.159679, -0.101041,  
Z Velocity[A/fs],0.00443946, 0.190393, 0.299093, -0.125165, -0.245337, -0.240714, 0.0965145,  
Speed[A/fs],0.0159117, 0.42387, 0.479141, 0.200917, 0.478833, 0.456566, 0.139742, 

C2H6_10_5r13, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.406123513916952, 0.1326788017737246, 0.4159075829513989, 0.1989032635166524, 0.398337317718121, 0.1248388206059474, 0.3896155897665758, 
Time[fs], 120.000000, 40.000000, 40.000000, 59.500000, 40.500000, 42.000000, 90.000000, 
Density Sum, 9.066404890249373
X Velocity[A/fs], 0.00151632, 0.371708, -0.352933, 0.0281051, -0.355164, 0.343871, -0.00997306,  
Y Velocity[A/fs],0.01118, 0.184828, 0.212365, 0.207417, -0.199508, -0.262486, -0.112581,  
Z Velocity[A/fs],0.00827539, 0.286767, 0.217999, -0.203523, -0.232853, -0.292108, 0.119302,  
Speed[A/fs],0.0139919, 0.504543, 0.46603, 0.291948, 0.469218, 0.52199, 0.164338, 

C2H6_10_5r10, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.3868455462458, 0.2683578447268497, 0.4214879802141163, 0.2519176212890625, 0.398581419566464, 0.2033904836123453, 0.1964044510389635, 
Time[fs], 71.000000, 42.500000, 38.000000, 56.000000, 43.000000, 38.000000, 54.500000, 
Density Sum, 9.1269853466936
X Velocity[A/fs], -0.000410085, 0.316377, -0.368348, -0.010176, -0.306401, 0.395511, 0.010631,  
Y Velocity[A/fs],-0.00650436, 0.222895, 0.153377, 0.211663, -0.221167, -0.196878, -0.22507,  
Z Velocity[A/fs],-0.00346676, 0.258279, 0.258284, -0.18406, -0.18464, -0.229455, 0.183428,  
Speed[A/fs],0.00738196, 0.465279, 0.475306, 0.280683, 0.42058, 0.497834, 0.290543, 

C2H6_10_5r4, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.305677304404163, 0.1712260782832847, 0.4809254340782942, 0.2080372100188569, 0.4806409917279943, 0.1930188658250419, 0.061055235230113, 
Time[fs], 74.000000, 40.500000, 38.000000, 50.000000, 38.000000, 46.500000, 47.500000, 
Density Sum, 8.900581119567748
X Velocity[A/fs], 0.00855062, 0.356343, -0.374503, 0.0222434, -0.378962, 0.265844, 0.00586709,  
Y Velocity[A/fs],0.00468744, 0.284086, 0.174306, 0.257644, -0.156602, -0.276536, -0.287274,  
Z Velocity[A/fs],0.0139118, 0.228132, 0.20394, -0.203678, -0.189647, -0.256127, 0.260572,  
Speed[A/fs],0.0169889, 0.509637, 0.460681, 0.32918, 0.451777, 0.461244, 0.38789, 

C2H6_10_5r15, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 6.978337460519352, 0.3519728415248395, 0.4461829022083669, 0.3994208756917587, 0.2804446665766969, 0.3132283570750992, 0.1937977745232077, 
Time[fs], 77.500000, 40.000000, 40.000000, 49.000000, 46.500000, 37.000000, 47.500000, 
Density Sum, 8.963384878119321
X Velocity[A/fs], -0.000566906, 0.355731, -0.345639, -0.0163405, -0.225103, 0.423892, -0.0103306,  
Y Velocity[A/fs],-0.0107621, 0.187297, 0.241136, 0.28447, -0.281289, -0.117194, -0.29368,  
Z Velocity[A/fs],-0.00366279, 0.249714, 0.213114, -0.156675, -0.240388, -0.235196, 0.252758,  
Speed[A/fs],0.0113824, 0.473267, 0.472261, 0.325173, 0.433107, 0.498734, 0.38761, 

C2H6_10_5r18, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.333086602885615, 0.4818964798279857, 0.2347457136682859, 0.2244583854545201, 0.2449419736991957, 0.3349676499343471, 0.194884910213125, 
Time[fs], 75.500000, 44.500000, 37.500000, 52.000000, 42.000000, 35.500000, 45.500000, 
Density Sum, 9.048981715683073
X Velocity[A/fs], -0.00295651, 0.285126, -0.396649, 0.0268596, -0.321868, 0.44462, -0.0280398,  
Y Velocity[A/fs],-0.00739608, 0.16626, 0.180523, 0.239367, -0.185307, -0.15965, -0.30245,  
Z Velocity[A/fs],0.0101834, 0.240518, 0.250038, -0.198595, -0.278719, -0.182792, 0.194093,  
Speed[A/fs],0.0129284, 0.408397, 0.502432, 0.312182, 0.464351, 0.506545, 0.360464, 

C2H6_10_5r14, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.073996420691273, 0.4744198805535237, 0.2274307866451616, 0.2545827198702432, 0.4884130144862834, 0.2756782042414392, 0.288203508315602, 
Time[fs], 74.000000, 35.500000, 47.500000, 49.500000, 37.500000, 45.000000, 51.000000, 
Density Sum, 9.082724534803527
X Velocity[A/fs], -0.000440396, 0.431002, -0.208063, 0.0125014, -0.397161, 0.257705, -0.0124988,  
Y Velocity[A/fs],-0.00499063, 0.079887, 0.285975, 0.274095, -0.16497, -0.266569, -0.268239,  
Z Velocity[A/fs],-0.00689035, 0.211767, 0.2136, -0.222638, -0.213949, -0.270464, 0.180918,  
Speed[A/fs],0.00851923, 0.486816, 0.413155, 0.353345, 0.48034, 0.458935, 0.32379, 

C2H6_10_5r5, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 6.885866069267161, 0.1989699598227341, 0.5107873520294076, 0.4383731129589684, 0.5327804814750312, 0.2415207570671239, 0.2529134977712703, 
Time[fs], 68.000000, 44.000000, 37.500000, 49.000000, 39.000000, 45.500000, 48.000000, 
Density Sum, 9.061211230391697
X Velocity[A/fs], 0.00340161, 0.252666, -0.377992, 0.0520149, -0.359813, 0.295015, 0.0244237,  
Y Velocity[A/fs],-0.000518523, 0.268554, 0.178516, 0.275345, -0.162879, -0.264479, -0.295628,  
Z Velocity[A/fs],-0.00153212, 0.285136, 0.205799, -0.16905, -0.179989, -0.236321, 0.202921,  
Speed[A/fs],0.00376659, 0.466116, 0.465939, 0.327258, 0.43404, 0.461336, 0.359402, 

C2H6_10_5r11, C2[0][1], H[2], H[3], H[4], H[5], H[6], H[7], 
Densities, 7.44317144457888, 0.377663255048695, 0.112734462998461, 0.29733601017992, 0.3642577517896159, 0.3017118167736541, 0.273369031815414, 
Time[fs], 120.000000, 36.000000, 46.500000, 58.000000, 40.500000, 44.000000, 53.500000, 
Density Sum, 9.170243773184639
X Velocity[A/fs], -0.00876599, 0.438647, -0.238106, 0.0266354, -0.357972, 0.307423, -0.0654188,  
Y Velocity[A/fs],-0.00764803, 0.13048, 0.29777, 0.198688, -0.205211, -0.227919, -0.244446,  
Z Velocity[A/fs],-0.00851549, 0.182224, 0.23572, -0.208384, -0.240939, -0.269457, 0.181737,  
Speed[A/fs],0.014417, 0.492586, 0.448247, 0.289154, 0.477815, 0.468042, 0.311547, 

