C4H10_7_5z_r5, C4H7[0][1][4][6][2][8][3][9][11][12][13], H[5], H[7], H[10], 
Y Velocity[A/fs],-0.000178038, -0.136171, 0.164892, 0.142444,  
Z Velocity[A/fs],0.00139931, 0.130244, -0.358649, 0.272828,  
Speed[A/fs],0.00213127, 0.31122, 0.398202, 0.331038, 

C4H10_7_5z_r6, C4H7[0][1][4][6][2][8][3][9][11][12][13], H[5], H[7], H[10], 
Densities, 20.8299381282642, 0.2804849061965073, 0.1898989016442581, 0.2651468458348263, 
Time[fs], 76.500000, 67.500000, 43.500000, 56.500000, 
Density Sum, 21.56546878193979
X Velocity[A/fs], -0.00127719, -0.2354, -0.0664886, 0.096925,  
Y Velocity[A/fs],0.00479963, -0.143854, 0.176509, 0.103695,  
Z Velocity[A/fs],0.00649036, 0.135249, -0.407434, 0.298403,  
Speed[A/fs],0.00817266, 0.307244, 0.448975, 0.330442, 

C4H10_7_5z_r29, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.29113830852673, 0.300030400250458, 0.2200887697799932, 
Time[fs], 62.500000, 62.500000, 47.000000, 
Density Sum, 21.81125747855718
X Velocity[A/fs], -0.00414926, -0.0746093, 0.0822728,  
Y Velocity[A/fs],-0.010035, 0.181743, 0.0805555,  
Z Velocity[A/fs],-0.00569417, -0.239737, 0.377741,  
Speed[A/fs],0.0122614, 0.309954, 0.394901, 

C4H10_7_5z_r21, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.37597145602145, 0.2688103649079798, 0.2529051091006404, 
Time[fs], 64.500000, 45.000000, 47.500000, 
Density Sum, 21.89768693003007
X Velocity[A/fs], -0.00153369, -0.0563842, 0.0397446,  
Y Velocity[A/fs],0.00463693, 0.0688317, 0.165912,  
Z Velocity[A/fs],0.0074528, -0.384858, 0.348367,  
Speed[A/fs],0.00891053, 0.395009, 0.387899, 

C4H10_7_5z_r25, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.26570325778684, 0.1167243671904538, 0.4146278998925792, 
Time[fs], 59.000000, 59.000000, 44.000000, 
Density Sum, 21.79705552486987
X Velocity[A/fs], -2.18228e-05, -0.0536873, 0.0434536,  
Y Velocity[A/fs],0.00104591, 0.201217, 0.0844388,  
Z Velocity[A/fs],0.00392054, -0.253354, 0.379348,  
Speed[A/fs],0.00405772, 0.327962, 0.391054, 

C4H10_7_5z_r38, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.14131459035335, 0.1308158494949501, 0.3922557832617971, 
Time[fs], 64.000000, 46.000000, 47.500000, 
Density Sum, 21.6643862231101
X Velocity[A/fs], 0.00352807, -0.0510043, 0.0753088,  
Y Velocity[A/fs],-0.00919787, 0.146278, 0.111203,  
Z Velocity[A/fs],-0.000411328, -0.387644, 0.353925,  
Speed[A/fs],0.00985988, 0.417452, 0.378551, 

C4H10_7_5z_r3, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.2739361791886, 0.2931871431116487, 0.3030840076155953, 
Time[fs], 68.000000, 47.500000, 50.000000, 
Density Sum, 21.87020732991584
X Velocity[A/fs], 0.00284452, -0.0422161, 0.0264702,  
Y Velocity[A/fs],-0.00177427, 0.161541, 0.186247,  
Z Velocity[A/fs],0.00351411, -0.356038, 0.327572,  
Speed[A/fs],0.00485678, 0.393244, 0.377746, 

C4H10_7_5z_r19, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.2121997502894, 0.2818934477541418, 0.2691067634128838, 
Time[fs], 64.000000, 46.500000, 47.500000, 
Density Sum, 21.76319996145642
X Velocity[A/fs], 0.00281435, -0.0774785, 0.0630051,  
Y Velocity[A/fs],-0.00620716, 0.153409, 0.123484,  
Z Velocity[A/fs],0.00243109, -0.360735, 0.356605,  
Speed[A/fs],0.00723599, 0.399583, 0.382603, 

C4H10_7_5z_r15, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.39663721936264, 0.1741768073802232, 0.2424862050596487, 
Time[fs], 63.500000, 55.500000, 47.000000, 
Density Sum, 21.81330023180251
X Velocity[A/fs], -0.00573104, -0.10127, 0.0387483,  
Y Velocity[A/fs],0.00346219, 0.102097, 0.161478,  
Z Velocity[A/fs],0.000403203, -0.315983, 0.368534,  
Speed[A/fs],0.00670777, 0.347166, 0.40422, 

C4H10_7_5z_r41, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.00643285243496, 0.3572951051437627, 0.337771040524558, 
Time[fs], 67.000000, 50.500000, 49.500000, 
Density Sum, 21.70149899810328
X Velocity[A/fs], -0.00171373, -0.0504748, 0.0405051,  
Y Velocity[A/fs],-0.00253103, 0.0870558, 0.13409,  
Z Velocity[A/fs],-0.0109966, -0.352925, 0.347741,  
Speed[A/fs],0.0114135, 0.366991, 0.374893, 

C4H10_7_5z_r13, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.31587482551767, 0.2104438148314266, 0.2836038521808349, 
Time[fs], 69.000000, 54.000000, 52.500000, 
Density Sum, 21.80992249252993
X Velocity[A/fs], -0.00357575, -0.0596783, 0.0883083,  
Y Velocity[A/fs],-0.00501281, 0.190634, 0.0736528,  
Z Velocity[A/fs],-0.00725475, -0.326259, 0.344174,  
Speed[A/fs],0.00951555, 0.382554, 0.362875, 

C4H10_7_5z_r49, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.52052183276288, 0.09072258091720911, 0.2376356485813517, 
Time[fs], 67.000000, 47.500000, 49.500000, 
Density Sum, 21.84888006226144
X Velocity[A/fs], 0.00478495, -0.0798852, 0.0523413,  
Y Velocity[A/fs],-0.0130109, 0.169946, 0.124408,  
Z Velocity[A/fs],0.00574015, -0.369061, 0.342211,  
Speed[A/fs],0.0150043, 0.414089, 0.367866, 

C4H10_7_5z_r33, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.14946460795547, 0.3726879906718752, 0.216739869926722, 
Time[fs], 57.500000, 46.500000, 43.000000, 
Density Sum, 21.73889246855407
X Velocity[A/fs], 0.000159633, -0.0388204, 0.0498418,  
Y Velocity[A/fs],-0.00802334, 0.124336, 0.0898482,  
Z Velocity[A/fs],0.000703711, -0.334192, 0.402458,  
Speed[A/fs],0.00805572, 0.358679, 0.415366, 

C4H10_7_5z_r27, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 20.90271110442556, 0.5228937082730815, 0.189371816382976, 
Time[fs], 68.000000, 48.000000, 51.500000, 
Density Sum, 21.61497662908162
X Velocity[A/fs], -0.00279044, -0.000329614, 0.0674871,  
Y Velocity[A/fs],-0.00418791, 0.138184, 0.160584,  
Z Velocity[A/fs],-0.00144423, -0.336425, 0.36198,  
Speed[A/fs],0.00523555, 0.363699, 0.40171, 

C4H10_7_5z_r30, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.08270561293502, 0.3147503702457294, 0.2630529202446542, 
Time[fs], 64.500000, 54.500000, 48.000000, 
Density Sum, 21.66050890342541
X Velocity[A/fs], -0.0030736, -0.0515993, 0.0356442,  
Y Velocity[A/fs],-0.00760478, 0.177766, 0.163083,  
Z Velocity[A/fs],0.00253711, -0.301195, 0.364353,  
Speed[A/fs],0.00858584, 0.353527, 0.400774, 

C4H10_7_5z_r46, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.54398196758157, 0.05966027526604631, 0.288747964849997, 
Time[fs], 72.000000, 47.500000, 53.500000, 
Density Sum, 21.89239020769761
X Velocity[A/fs], -0.00115467, -0.0576355, 0.0510834,  
Y Velocity[A/fs],0.000777202, 0.0948002, 0.147789,  
Z Velocity[A/fs],0.0084599, -0.400068, 0.31829,  
Speed[A/fs],0.00857364, 0.415166, 0.354626, 

C4H10_7_5z_r9, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.15235246736474, 0.2796542188283753, 0.2073049246863691, 
Time[fs], 67.000000, 67.000000, 50.500000, 
Density Sum, 21.63931161087949
X Velocity[A/fs], -0.000688546, -0.110116, 0.0927404,  
Y Velocity[A/fs],-0.011881, 0.173748, 0.0488544,  
Z Velocity[A/fs],0.00361958, -0.208946, 0.372494,  
Speed[A/fs],0.0124392, 0.29321, 0.386961, 

C4H10_7_5z_r43, C4H7[0][1][4][5][6][2][8][3][9][11][13], H[7], H[10], H[12], 
Densities, 20.77242241109392, 0.2521841666599203, 0.3236740380466661, 0.2306261708110294, 
Time[fs], 67.000000, 60.500000, 49.000000, 63.500000, 
Density Sum, 21.57890678661153
X Velocity[A/fs], -0.00124548, -0.129395, 0.0768111, 0.22408,  
Y Velocity[A/fs],-0.000104066, 0.122567, 0.151143, -0.163454,  
Z Velocity[A/fs],0.00363191, -0.254016, 0.338559, -0.21288,  
Speed[A/fs],0.00384094, 0.310306, 0.378637, 0.349638, 

C4H10_7_5z_r28, C4H7[0][1][4][6][2][8][3][9][11][12][13], H[5], H[7], H[10], 
Densities, 21.03618705405632, 0.3456275470403667, 0.2824556280739427, 0.177668927925933, 
Time[fs], 68.500000, 68.500000, 47.500000, 51.000000, 
Density Sum, 21.84193915709656
X Velocity[A/fs], 0.0010759, -0.197716, -0.0315157, 0.0740458,  
Y Velocity[A/fs],-0.00598796, -0.0812961, 0.147258, 0.16031,  
Z Velocity[A/fs],-0.0019701, 0.0250902, -0.351777, 0.332457,  
Speed[A/fs],0.00639488, 0.215244, 0.382655, 0.376443, 

C4H10_7_5z_r34, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.01821763347935, 0.3781520432705665, 0.3440570869610647, 
Time[fs], 66.000000, 47.500000, 49.000000, 
Density Sum, 21.74042676371098
X Velocity[A/fs], 0.00140972, -0.0440099, 0.038943,  
Y Velocity[A/fs],0.000266208, 0.150337, 0.159647,  
Z Velocity[A/fs],-0.00101245, -0.351662, 0.343092,  
Speed[A/fs],0.00175591, 0.384973, 0.380415, 

C4H10_7_5z_r26, C4H8[0][1][4][5][6][2][8][3][9][11][12][13], H[7], H[10], 
Densities, 21.59872680352504, 0.2235117188731668, 0.09315341729674131, 
Time[fs], 80.500000, 48.000000, 60.500000, 
Density Sum, 21.91539193969495
X Velocity[A/fs], -0.00346363, -0.0547284, 0.0730449,  
Y Velocity[A/fs],0.000428928, 0.122524, 0.209726,  
Z Velocity[A/fs],5.44932e-05, -0.393422, 0.302309,  
Speed[A/fs],0.00349051, 0.415679, 0.375115, 

